作品ID,作品名,作品名読み,ソート用読み,副題,副題読み,原題,初出,分類番号,文字遣い種別,作品著作権フラグ,公開日,最終更新日,図書カードURL,人物ID,姓,名,姓読み,名読み,姓読みソート用,名読みソート用,姓ローマ字,名ローマ字,役割フラグ,生年月日,没年月日,人物著作権フラグ,底本名1,底本出版社名1,底本初版発行年1,入力に使用した版1,校正に使用した版1,底本の親本名1,底本の親本出版社名1,底本の親本初版発行年1,底本名2,底本出版社名2,底本初版発行年2,入力に使用した版2,校正に使用した版2,底本の親本名2,底本の親本出版社名2,底本の親本初版発行年2,入力者,校正者,テキストファイルURL,テキストファイル最終更新日,テキストファイル符号化方式,テキストファイル文字集合,テキストファイル修正回数,XHTML/HTMLファイルURL,XHTML/HTMLファイル最終更新日,XHTML/HTMLファイル符号化方式,XHTML/HTMLファイル文字集合,XHTML/HTMLファイル修正回数
060357,新浦島,しんうらしま,しんうらしま,,,RIP VAN WINKLE. EINE NACHGELASSENE SCHRIFT VON DIETRICH KNICKERBOCKER.,「少年園　第二巻　第十三号」1889（明治22）年5月3日<br>「少年園　第二巻　第十四号」1889（明治22）年5月18日<br>「少年園　第二巻　第十五号」1889（明治22）年6月3日<br>「少年園　第二巻　第十六号」1889（明治22）年6月18日<br>「少年園　第二巻　第十七号」1889（明治22）年7月3日<br>「少年園　第二巻　第十八号」1889（明治22）年7月18日<br>「少年園　第二巻　第二十号」1889（明治22）年8月18日,NDC K933,新字旧仮名,なし,2022-07-09,2022-06-26,https://www.aozora.gr.jp/cards/001257/card60357.html,001257,アーヴィング,ワシントン,アーヴィング,ワシントン,ああういんく,わしんとん,Irving,Washington,著者,1783-04-03,1859-11-28,なし,鴎外選集　第16巻,岩波書店,1980（昭和55）年2月22日,1980（昭和55）年6月30日第2刷,1980（昭和55）年2月22日第1刷,,,,,,,,,,,,砂場清隆,岡村和彦,https://www.aozora.gr.jp/cards/001257/files/60357_ruby_75861.zip,2022-06-26,ShiftJIS,JIS X 0208,0,https://www.aozora.gr.jp/cards/001257/files/60357_75896.html,2022-06-26,ShiftJIS,JIS X 0208,0
057978,少年少女におくる言葉,しょうねんしょうじょにおくることば,しようねんしようしよにおくることは,,,,「少年少女新潟日報」1952（昭和27）年1月13日,NDC K914,旧字旧仮名,なし,2017-07-01,2017-06-25,https://www.aozora.gr.jp/cards/001245/card57978.html,001245,会津,八一,あいづ,やいち,あいつ,やいち,Aizu,Yaichi,著者,1881-08-01,1956-11-21,なし,會津八一全集　第七卷,中央公論社,1982（昭和57）年4月25日,1982（昭和57）年4月25日初版,1982（昭和57）年4月25日初版,會津八一全集　第六卷,中央公論社,1968（昭和43）年,,,,,,,,,フクポー,鴨川佳一郎,https://www.aozora.gr.jp/cards/001245/files/57978_txt_61951.zip,2017-06-13,ShiftJIS,JIS X 0208,0,https://www.aozora.gr.jp/cards/001245/files/57978_61952.html,2017-06-13,ShiftJIS,JIS X 0208,0
053182,三人の百姓,さんにんのひゃくしょう,さんにんのひやくしよう,,,,「婦人公論」1920（大正9）年6月,NDC K913,新字新仮名,なし,2013-01-01,2016-01-17,https://www.aozora.gr.jp/cards/001584/card53182.html,001584,秋田,雨雀,あきた,うじゃく,あきた,うしやく,Akita,Ujyaku,著者,1883-01-30,1962-05-12,なし,日本児童文学名作集（下）,岩波文庫、岩波書店,1994（平成6）年3月16日,2001（平成13）年5月7日第12刷,2000（平成12）年2月25日第10刷,太陽と花園,精華書院,1921（大正10）年,,,,,,,,,門田裕志,Juki,https://www.aozora.gr.jp/cards/001584/files/53182_ruby_49658.zip,2016-01-17,ShiftJIS,JIS X 0208,1,https://www.aozora.gr.jp/cards/001584/files/53182_49659.html,2016-01-17,ShiftJIS,JIS X 0208,1
000015,アグニの神,アグニのかみ,あくにのかみ,,,,「赤い鳥」1921（大正10）年1、2月,NDC K913,新字旧仮名,なし,1998-12-11,2014-09-17,https://www.aozora.gr.jp/cards/000879/card15.html,000879,芥川,竜之介,あくたがわ,りゅうのすけ,あくたかわ,りゆうのすけ,Akutagawa,Ryunosuke,著者,1892-03-01,1927-07-24,なし,現代日本文學大系　43　芥川龍之介集,筑摩書房,1968（昭和43）年8月25日,1968（昭和43）年8月25日初版第1刷,,,,,,,,,,,,,j.utiyama,かとうかおり,https://www.aozora.gr.jp/cards/000879/files/15_ruby_904.zip,2004-02-09,ShiftJIS,JIS X 0208,2,https://www.aozora.gr.jp/cards/000879/files/15_14583.html,2004-02-09,ShiftJIS,JIS X 0208,0
043014,アグニの神,アグニのかみ,あくにのかみ,,,,「赤い鳥」1921（大正10）年1月、2月,NDC K913,新字新仮名,なし,2005-02-06,2014-09-18,https://www.aozora.gr.jp/cards/000879/card43014.html,000879,芥川,竜之介,あくたがわ,りゅうのすけ,あくたかわ,りゆうのすけ,Akutagawa,Ryunosuke,著者,1892-03-01,1927-07-24,なし,蜘蛛の糸・杜子春,新潮文庫、新潮社,1968（昭和43）年11月15日,1989（平成元）年5月30日46刷,2004（平成16）年6月5日67刷,,,,,,,,,,,,蒋龍,noriko saito,https://www.aozora.gr.jp/cards/000879/files/43014_ruby_17392.zip,2005-01-07,ShiftJIS,JIS X 0208,0,https://www.aozora.gr.jp/cards/000879/files/43014_17430.html,2005-01-07,ShiftJIS,JIS X 0208,0
000056,犬と笛,いぬとふえ,いぬとふえ,,,,「赤い鳥」1919（大正8）年1、2月,NDC K913,新字新仮名,なし,1998-12-07,2014-09-17,https://www.aozora.gr.jp/cards/000879/card56.html,000879,芥川,竜之介,あくたがわ,りゅうのすけ,あくたかわ,りゆうのすけ,Akutagawa,Ryunosuke,著者,1892-03-01,1927-07-24,なし,芥川龍之介全集2,ちくま文庫、筑摩書房,1986（昭和61）年10月28日,1996（平成8）7月15日第11刷,1996（平成8）7月15日第11刷,筑摩全集類聚版芥川龍之介全集,筑摩書房,1971（昭和46）年3月～1971（昭和46）年11月,,,,,,,,,j.utiyama,かとうかおり,https://www.aozora.gr.jp/cards/000879/files/56_ruby_845.zip,2004-03-15,ShiftJIS,JIS X 0208,2,https://www.aozora.gr.jp/cards/000879/files/56_15161.html,2004-03-15,ShiftJIS,JIS X 0208,0
000092,蜘蛛の糸,くものいと,くものいと,,,,「赤い鳥」1918（大正7）年7月,NDC K913,新字新仮名,なし,1997-11-10,2014-09-17,https://www.aozora.gr.jp/cards/000879/card92.html,000879,芥川,竜之介,あくたがわ,りゅうのすけ,あくたかわ,りゆうのすけ,Akutagawa,Ryunosuke,著者,1892-03-01,1927-07-24,なし,芥川龍之介全集2,ちくま文庫、筑摩書房,1986（昭和61）年10月28日,1996（平成8）年7月15日第11刷,,筑摩全集類聚版芥川龍之介全集,筑摩書房,1971（昭和46）年3月～11月,,,,,,,,,野口英司、平山誠,もりみつじゅんじ,https://www.aozora.gr.jp/cards/000879/files/92_ruby_164.zip,2011-01-28,ShiftJIS,JIS X 0208,4,https://www.aozora.gr.jp/cards/000879/files/92_14545.html,2011-01-28,ShiftJIS,JIS X 0208,2
000149,白,しろ,しろ,,,,「女性改造」1923（大正12）年8月,NDC K913,新字新仮名,なし,1999-03-01,2014-09-17,https://www.aozora.gr.jp/cards/000879/card149.html,000879,芥川,竜之介,あくたがわ,りゅうのすけ,あくたかわ,りゆうのすけ,Akutagawa,Ryunosuke,著者,1892-03-01,1927-07-24,なし,芥川龍之介全集5,ちくま文庫、筑摩書房,1987（昭和62）年2月24日,1995（平成7）年4月10日第6刷,,筑摩全集類聚版芥川龍之介全集,筑摩書房,1971（昭和46）年3月～1971（昭和46）年11月,,,,,,,,,j.utiyama,もりみつじゅんじ,https://www.aozora.gr.jp/cards/000879/files/149_ruby_1581.zip,2012-03-22,ShiftJIS,JIS X 0208,3,https://www.aozora.gr.jp/cards/000879/files/149_15204.html,2012-03-22,ShiftJIS,JIS X 0208,1
000170,杜子春,とししゅん,とししゆん,,,,「赤い鳥」1920（大正9）年7月号,NDC K913,新字旧仮名,なし,1998-05-20,2014-09-17,https://www.aozora.gr.jp/cards/000879/card170.html,000879,芥川,竜之介,あくたがわ,りゅうのすけ,あくたかわ,りゆうのすけ,Akutagawa,Ryunosuke,著者,1892-03-01,1927-07-24,なし,現代日本文学大系　43　芥川龍之介集,筑摩書房,1968（昭和43）年8月25日,1968（昭和43）年8月25日初版第1刷,,,,,,,,,,,,,j.utiyama,野口英司,https://www.aozora.gr.jp/cards/000879/files/170_ruby_348.zip,2004-03-12,ShiftJIS,JIS X 0208,6,https://www.aozora.gr.jp/cards/000879/files/170_15144.html,2004-03-12,ShiftJIS,JIS X 0208,0
043015,杜子春,とししゅん,とししゆん,,,,「赤い鳥」1920（大正9）年7月号,NDC K913,新字新仮名,なし,2005-02-07,2014-09-18,https://www.aozora.gr.jp/cards/000879/card43015.html,000879,芥川,竜之介,あくたがわ,りゅうのすけ,あくたかわ,りゆうのすけ,Akutagawa,Ryunosuke,著者,1892-03-01,1927-07-24,なし,蜘蛛の糸・杜子春,新潮文庫、新潮社,1968（昭和43）年11月15日,1989（平成元）年5月30日46刷,2004（平成16）年6月5日67刷,,,,,,,,,,,,蒋龍,noriko saito,https://www.aozora.gr.jp/cards/000879/files/43015_ruby_17393.zip,2013-10-29,ShiftJIS,JIS X 0208,2,https://www.aozora.gr.jp/cards/000879/files/43015_17432.html,2013-10-29,ShiftJIS,JIS X 0208,2
000169,トロツコ,トロッコ,とろつこ,,,,「大観」1922（大正11）年3月,NDC K913,新字旧仮名,なし,1998-03-24,2014-09-17,https://www.aozora.gr.jp/cards/000879/card169.html,000879,芥川,竜之介,あくたがわ,りゅうのすけ,あくたかわ,りゆうのすけ,Akutagawa,Ryunosuke,著者,1892-03-01,1927-07-24,なし,現代日本文学大系　43　芥川龍之介集,筑摩書房,1968（昭和43）年8月25日,1968（昭和43）年8月25日初版第1刷,,,,,,,,,,,,,j.utiyama,野口英司,https://www.aozora.gr.jp/cards/000879/files/169_ruby_276.zip,2004-03-13,ShiftJIS,JIS X 0208,2,https://www.aozora.gr.jp/cards/000879/files/169_15145.html,2004-03-13,ShiftJIS,JIS X 0208,0
043016,トロッコ,トロッコ,とろつこ,,,,,NDC K913,新字新仮名,なし,2004-11-16,2014-09-18,https://www.aozora.gr.jp/cards/000879/card43016.html,000879,芥川,竜之介,あくたがわ,りゅうのすけ,あくたかわ,りゆうのすけ,Akutagawa,Ryunosuke,著者,1892-03-01,1927-07-24,なし,蜘蛛の糸・杜子春,新潮文庫、新潮社,1968（昭和43）年11月15日、1984（昭和59）年12月25日38刷改版,1989（平成元）年5月30日46刷,1988（昭和63）年5月25日45刷,,,,,,,,,,,,蒋龍,鈴木厚司,https://www.aozora.gr.jp/cards/000879/files/43016_ruby_16663.zip,2004-10-31,ShiftJIS,JIS X 0208,0,https://www.aozora.gr.jp/cards/000879/files/43016_16836.html,2004-10-31,ShiftJIS,JIS X 0208,0
001031,女仙,にょせん,によせん,,,,不詳,NDC K913,新字新仮名,なし,1999-05-15,2014-09-17,https://www.aozora.gr.jp/cards/000879/card1031.html,000879,芥川,竜之介,あくたがわ,りゅうのすけ,あくたかわ,りゆうのすけ,Akutagawa,Ryunosuke,著者,1892-03-01,1927-07-24,なし,蜘蛛の糸・杜子春・トロッコ　他十七篇,岩波文庫、岩波書店,1990（平成2）年8月16日,1990（平成2）年8月16日第1刷,,,,,,,,,,,,,j.utiyama,もりみつじゅんじ,https://www.aozora.gr.jp/cards/000879/files/1031_ruby_1963.zip,2004-02-06,ShiftJIS,JIS X 0208,3,https://www.aozora.gr.jp/cards/000879/files/1031_14564.html,2004-02-06,ShiftJIS,JIS X 0208,0
003755,文章と言葉と,ぶんしょうとことばと,ふんしようとことはと,,,,,NDC K914,新字旧仮名,なし,2007-08-03,2014-09-21,https://www.aozora.gr.jp/cards/000879/card3755.html,000879,芥川,竜之介,あくたがわ,りゅうのすけ,あくたかわ,りゆうのすけ,Akutagawa,Ryunosuke,著者,1892-03-01,1927-07-24,なし,筑摩全集類聚　芥川龍之介全集第四巻,筑摩書房,1971（昭和46）年6月5日,1979（昭和54）年4月10日初版第11刷,,,,,,,,,,,,,土屋隆,松永正敏,https://www.aozora.gr.jp/cards/000879/files/3755_ruby_27254.zip,2007-06-27,ShiftJIS,JIS X 0208,0,https://www.aozora.gr.jp/cards/000879/files/3755_27342.html,2007-06-27,ShiftJIS,JIS X 0208,0
000095,魔術,まじゅつ,ましゆつ,,,,「赤い鳥」1920（大正9）年1月,NDC K913,新字新仮名,なし,1998-12-08,2014-09-17,https://www.aozora.gr.jp/cards/000879/card95.html,000879,芥川,竜之介,あくたがわ,りゅうのすけ,あくたかわ,りゆうのすけ,Akutagawa,Ryunosuke,著者,1892-03-01,1927-07-24,なし,芥川龍之介全集3,ちくま文庫、筑摩書房,1986（昭和61）年12月1日,1996（平成8）年4月1日第8刷,1997（平成9）年4月15日第9刷,筑摩全集類聚版芥川龍之介全集,筑摩書房,1971（昭和46）年3月～1971（昭和46）年11月,,,,,,,,,j.utiyama,かとうかおり,https://www.aozora.gr.jp/cards/000879/files/95_ruby_885.zip,2004-03-15,ShiftJIS,JIS X 0208,4,https://www.aozora.gr.jp/cards/000879/files/95_15247.html,2004-03-15,ShiftJIS,JIS X 0208,0
001126,三つの宝,みっつのたから,みつつのたから,,,,「良婦之友」1922（大正11）年2月,NDC K912 K913,新字新仮名,なし,2004-01-30,2014-09-18,https://www.aozora.gr.jp/cards/000879/card1126.html,000879,芥川,竜之介,あくたがわ,りゅうのすけ,あくたかわ,りゆうのすけ,Akutagawa,Ryunosuke,著者,1892-03-01,1927-07-24,なし,芥川龍之介全集5,ちくま文庫、筑摩書房,1987（昭和62）年2月24日,1995（平成7）年4月10日第6刷,1987（昭和62）年2月24日第1刷,筑摩全集類聚版芥川龍之介全集,筑摩書房,1971（昭和46）年3月～11月,,,,,,,,,j.utiyama,多羅尾伴内,https://www.aozora.gr.jp/cards/000879/files/1126_ruby_14122.zip,2010-11-04,ShiftJIS,JIS X 0208,1,https://www.aozora.gr.jp/cards/000879/files/1126_14251.html,2010-11-04,ShiftJIS,JIS X 0208,1
003828,三つの指環,みっつのゆびわ,みつつのゆひわ,,,,,NDC K913,新字旧仮名,なし,2007-11-20,2014-09-21,https://www.aozora.gr.jp/cards/000879/card3828.html,000879,芥川,竜之介,あくたがわ,りゅうのすけ,あくたかわ,りゆうのすけ,Akutagawa,Ryunosuke,著者,1892-03-01,1927-07-24,なし,芥川龍之介全集　第二十二巻,岩波書店,1997（平成9）年10月30日,1997（平成9）年10月30日,1997（平成9）年10月30日,,,,,,,,,,,,土屋隆,林幸雄,https://www.aozora.gr.jp/cards/000879/files/3828_ruby_28510.zip,2007-11-05,ShiftJIS,JIS X 0208,0,https://www.aozora.gr.jp/cards/000879/files/3828_28511.html,2007-11-05,ShiftJIS,JIS X 0208,0
045381,母を尋ねて三千里,ははをたずねてさんぜんり,ははをたすねてさんせんり,,,DAGLI APPENNINI ALLE ANDE,,NDC K973,新字新仮名,なし,2005-07-26,2014-09-18,https://www.aozora.gr.jp/cards/001048/card45381.html,001048,アミーチス,エドモンド・デ,アミーチス,エドモンド・デ,あみいちす,えともんとて,Amicis,Edmondo De,著者,1846-10-31,1908-03-11,なし,家なき子,九段書房,1927（昭和2）年10月15日,1927（昭和2）年10月15日,,,,,,,,,,,,,京都大学電子テクスト研究会入力班,京都大学電子テクスト研究会校正班,https://www.aozora.gr.jp/cards/001048/files/45381_ruby_18650.zip,2005-06-15,ShiftJIS,JIS X 0208,0,https://www.aozora.gr.jp/cards/001048/files/45381_18751.html,2005-06-15,ShiftJIS,JIS X 0208,0
000215,溺れかけた兄妹,おぼれかけたきょうだい,おほれかけたきようたい,,,,「婦人公論」1921（大正10）年7月,NDC K913,新字新仮名,なし,1999-09-27,2014-09-17,https://www.aozora.gr.jp/cards/000025/card215.html,000025,有島,武郎,ありしま,たけお,ありしま,たけお,Arishima,Takeo,著者,1878-03-04,1923-06-09,なし,一房の葡萄　他四篇,岩波文庫、岩波書店,1988（昭和63）年12月16日改版第1刷,,,一房の葡萄,叢文閣,1922（大正11）年6月,,,,,,,,,鈴木厚司,地田尚,https://www.aozora.gr.jp/cards/000025/files/215_ruby_20450.zip,2005-11-18,ShiftJIS,JIS X 0208,1,https://www.aozora.gr.jp/cards/000025/files/215_20451.html,2005-11-18,ShiftJIS,JIS X 0208,0
000212,火事とポチ,かじとポチ,かしとほち,,,,,NDC K913,新字新仮名,なし,1998-05-25,2014-09-17,https://www.aozora.gr.jp/cards/000025/card212.html,000025,有島,武郎,ありしま,たけお,ありしま,たけお,Arishima,Takeo,著者,1878-03-04,1923-06-09,なし,一房の葡萄,角川文庫、角川書店,1952（昭和27）年3月10日、1968（昭和43）年5月10日改版初版,1990（平成2）年5月30日改版37版,,,,,,,,,,,,,鈴木厚司,八木正三,https://www.aozora.gr.jp/cards/000025/files/212_ruby_19526.zip,2007-08-21,ShiftJIS,JIS X 0208,1,https://www.aozora.gr.jp/cards/000025/files/212_19527.html,2007-08-21,ShiftJIS,JIS X 0208,1
056501,かたわ者,かたわもの,かたわもの,,,,「良婦之友　創刊號」春陽堂、1922（大正11）年1月1日,NDC K913,新字新仮名,なし,2020-03-04,2020-03-06,https://www.aozora.gr.jp/cards/000025/card56501.html,000025,有島,武郎,ありしま,たけお,ありしま,たけお,Arishima,Takeo,著者,1878-03-04,1923-06-09,なし,一房の葡萄,角川文庫、角川書店,1952（昭和27）年3月10日,1980（昭和55）年11月10日改版22版,1994（平成6）年7月30日改版45版,,,,,,,,,,,,呑天,きりんの手紙,https://www.aozora.gr.jp/cards/000025/files/56501_ruby_70383.zip,2020-02-21,ShiftJIS,JIS X 0208,0,https://www.aozora.gr.jp/cards/000025/files/56501_70441.html,2020-02-21,ShiftJIS,JIS X 0208,0
001053,碁石を呑んだ八っちゃん,ごいしをのんだやっちゃん,こいしをのんたやつちやん,,,,,NDC K913,新字新仮名,なし,2000-10-18,2014-09-17,https://www.aozora.gr.jp/cards/000025/card1053.html,000025,有島,武郎,ありしま,たけお,ありしま,たけお,Arishima,Takeo,著者,1878-03-04,1923-06-09,なし,一房の葡萄　他四篇,岩波文庫、岩波書店,1988（昭和63）年12月16日改版第1刷,,,一房の葡萄,叢文閣,1922（大正11）年6月,,,,,,,,,鈴木厚司,地田尚,https://www.aozora.gr.jp/cards/000025/files/1053_ruby_20454.zip,2005-11-18,ShiftJIS,JIS X 0208,1,https://www.aozora.gr.jp/cards/000025/files/1053_20455.html,2005-11-18,ShiftJIS,JIS X 0208,0
004994,燕と王子,つばめとおうじ,つはめとおうし,,,,「婦人の国」1926（大正15）年4月,NDC K913,新字新仮名,なし,2003-07-07,2014-09-17,https://www.aozora.gr.jp/cards/000025/card4994.html,000025,有島,武郎,ありしま,たけお,ありしま,たけお,Arishima,Takeo,著者,1878-03-04,1923-06-09,なし,一房の葡萄,角川文庫、角川書店,1952（昭和27）年 3月10日,1987（昭和62）年11月10日改版32刷,1981（昭和56）年11月10日改版23刷,,,,,,,,,,,,土屋隆,鈴木厚司,https://www.aozora.gr.jp/cards/000025/files/4994_ruby_11022.zip,2003-06-26,ShiftJIS,JIS X 0208,0,https://www.aozora.gr.jp/cards/000025/files/4994_11108.html,2003-06-26,ShiftJIS,JIS X 0208,0
000211,一房の葡萄,ひとふさのぶどう,ひとふさのふとう,,,,「赤い鳥」1920（大正9）年8月,NDC K913,新字新仮名,なし,1999-02-13,2018-10-15,https://www.aozora.gr.jp/cards/000025/card211.html,000025,有島,武郎,ありしま,たけお,ありしま,たけお,Arishima,Takeo,著者,1878-03-04,1923-06-09,なし,赤い鳥傑作集,新潮文庫、新潮社,1955（昭和30）年6月25日、1974（昭和49）年9月10日29刷改版,1984（昭和59）年10月10日44刷,,,,,,,,,,,,,鈴木厚司,,https://www.aozora.gr.jp/cards/000025/files/211_ruby_20471.zip,2018-10-15,ShiftJIS,JIS X 0208,3,https://www.aozora.gr.jp/cards/000025/files/211_20472.html,2018-10-15,ShiftJIS,JIS X 0208,1
000203,僕の帽子のお話,ぼくのぼうしのおはなし,ほくのほうしのおはなし,,,,,NDC K913,新字新仮名,なし,2000-04-29,2014-09-17,https://www.aozora.gr.jp/cards/000025/card203.html,000025,有島,武郎,ありしま,たけお,ありしま,たけお,Arishima,Takeo,著者,1878-03-04,1923-06-09,なし,一房の葡萄　他四篇,岩波文庫、岩波書店,1988（昭和63）年12月16日改版第1刷,,,一房の葡萄,叢文閣,1922（大正11）年6月,,,,,,,,,鈴木厚司,石川友子,https://www.aozora.gr.jp/cards/000025/files/203_ruby_20491.zip,2005-11-21,ShiftJIS,JIS X 0208,1,https://www.aozora.gr.jp/cards/000025/files/203_20492.html,2005-11-21,ShiftJIS,JIS X 0208,0
004993,真夏の夢,まなつのゆめ,まなつのゆめ,,,,,NDC K949,新字新仮名,なし,2003-08-21,2014-09-17,https://www.aozora.gr.jp/cards/001062/card4993.html,000025,有島,武郎,ありしま,たけお,ありしま,たけお,Arishima,Takeo,翻訳者,1878-03-04,1923-06-09,なし,一房の葡萄,角川文庫、角川書店,1952（昭和27）年 3月10日発行,1987（昭和62）年11月10日 改版32刷,1981（昭和56）年11月10日 改版23版,,,,,,,,,,,,土屋隆,鈴木厚司,https://www.aozora.gr.jp/cards/001062/files/4993_ruby_11268.zip,2003-07-06,ShiftJIS,JIS X 0208,0,https://www.aozora.gr.jp/cards/001062/files/4993_11314.html,2003-07-06,ShiftJIS,JIS X 0208,0
042378,赤いくつ,あかいくつ,あかいくつ,,,DE RODE SKO,,NDC K949,新字新仮名,なし,2005-06-08,2014-09-18,https://www.aozora.gr.jp/cards/000019/card42378.html,000019,アンデルセン,ハンス・クリスチャン,アンデルセン,ハンス・クリスチャン,あんてるせん,はんすくりすちやん,Andersen,Hans Christian,著者,1805-04-02,1875-08-04,なし,新訳アンデルセン童話集　第二巻,同和春秋社,1955（昭和30）年7月15日,1955（昭和30）年7月15日初版,　,,,,,,,,,,,,大久保ゆう,鈴木厚司,https://www.aozora.gr.jp/cards/000019/files/42378_ruby_18383.zip,2007-07-20,ShiftJIS,JIS X 0208,1,https://www.aozora.gr.jp/cards/000019/files/42378_18502.html,2005-06-01,ShiftJIS,JIS X 0208,0
060069,アヒルの庭で,アヒルのにわで,あひるのにわて,,,,,NDC K949,新字新仮名,なし,2021-03-20,2021-02-26,https://www.aozora.gr.jp/cards/000019/card60069.html,000019,アンデルセン,ハンス・クリスチャン,アンデルセン,ハンス・クリスチャン,あんてるせん,はんすくりすちやん,Andersen,Hans Christian,著者,1805-04-02,1875-08-04,なし,人魚の姫　アンデルセン童話集Ⅰ,新潮文庫、新潮社,1967（昭和42）年12月10日,2011（平成23）年9月5日48刷,2011（平成23）年9月5日48刷,,,,,,,,,,,,チエコ,木下聡,https://www.aozora.gr.jp/cards/000019/files/60069_ruby_72781.zip,2021-02-26,ShiftJIS,JIS X 0208,0,https://www.aozora.gr.jp/cards/000019/files/60069_72833.html,2021-02-26,ShiftJIS,JIS X 0208,0
060152,アンネ・リスベット,アンネ・リスベット,あんねりすへつと,,,,,NDC K949,新字新仮名,なし,2021-04-22,2021-03-27,https://www.aozora.gr.jp/cards/000019/card60152.html,000019,アンデルセン,ハンス・クリスチャン,アンデルセン,ハンス・クリスチャン,あんてるせん,はんすくりすちやん,Andersen,Hans Christian,著者,1805-04-02,1875-08-04,なし,人魚の姫　アンデルセン童話集Ⅰ,新潮文庫、新潮社,1967（昭和42）年12月10日,2011（平成23）年9月5日48刷,2011（平成23）年9月5日48刷,,,,,,,,,,,,チエコ,木下聡,https://www.aozora.gr.jp/cards/000019/files/60152_ruby_72992.zip,2021-03-27,ShiftJIS,JIS X 0208,0,https://www.aozora.gr.jp/cards/000019/files/60152_73039.html,2021-03-27,ShiftJIS,JIS X 0208,0
059998,イーダちゃんのお花,イーダちゃんのおはな,いいたちやんのおはな,,,,,NDC K949,新字新仮名,なし,2020-08-04,2020-07-27,https://www.aozora.gr.jp/cards/000019/card59998.html,000019,アンデルセン,ハンス・クリスチャン,アンデルセン,ハンス・クリスチャン,あんてるせん,はんすくりすちやん,Andersen,Hans Christian,著者,1805-04-02,1875-08-04,なし,人魚の姫　アンデルセン童話集Ⅰ,新潮文庫、新潮社,1967（昭和42）年12月10日,2011（平成23）年9月5日48刷,2011（平成23）年9月5日48刷,,,,,,,,,,,,チエコ,木下聡,https://www.aozora.gr.jp/cards/000019/files/59998_ruby_71391.zip,2020-07-27,ShiftJIS,JIS X 0208,0,https://www.aozora.gr.jp/cards/000019/files/59998_71440.html,2020-07-27,ShiftJIS,JIS X 0208,0
060149,いいなずけ,いいなずけ,いいなすけ,,,,,NDC K949,新字新仮名,なし,2021-05-08,2021-04-27,https://www.aozora.gr.jp/cards/000019/card60149.html,000019,アンデルセン,ハンス・クリスチャン,アンデルセン,ハンス・クリスチャン,あんてるせん,はんすくりすちやん,Andersen,Hans Christian,著者,1805-04-02,1875-08-04,なし,人魚の姫　アンデルセン童話集Ⅰ,新潮文庫、新潮社,1967（昭和42）年12月10日,2011（平成23）年9月5日48刷,2011（平成23）年9月5日48刷,,,,,,,,,,,,チエコ,木下聡,https://www.aozora.gr.jp/cards/000019/files/60149_ruby_73157.zip,2021-04-27,ShiftJIS,JIS X 0208,0,https://www.aozora.gr.jp/cards/000019/files/60149_73197.html,2021-04-27,ShiftJIS,JIS X 0208,0
059372,家じゅうの人たちの言ったこと,いえじゅうのひとたちのいったこと,いえしゆうのひとたちのいつたこと,,,,,NDC K949,新字新仮名,なし,2020-07-22,2020-06-27,https://www.aozora.gr.jp/cards/000019/card59372.html,000019,アンデルセン,ハンス・クリスチャン,アンデルセン,ハンス・クリスチャン,あんてるせん,はんすくりすちやん,Andersen,Hans Christian,著者,1805-04-02,1875-08-04,なし,マッチ売りの少女　（アンデルセン童話集Ⅲ）,新潮文庫、新潮社,1967（昭和42）年12月10日,1981（昭和56）年5月30日21刷,1982（昭和57）年3月5日22刷,,,,,,,,,,,,チエコ,木下聡,https://www.aozora.gr.jp/cards/000019/files/59372_ruby_71246.zip,2020-06-27,ShiftJIS,JIS X 0208,0,https://www.aozora.gr.jp/cards/000019/files/59372_71295.html,2020-06-27,ShiftJIS,JIS X 0208,0
059321,いたずらっ子,いたずらっこ,いたすらつこ,,,,,NDC K949,新字新仮名,なし,2020-07-22,2020-06-27,https://www.aozora.gr.jp/cards/000019/card59321.html,000019,アンデルセン,ハンス・クリスチャン,アンデルセン,ハンス・クリスチャン,あんてるせん,はんすくりすちやん,Andersen,Hans Christian,著者,1805-04-02,1875-08-04,なし,マッチ売りの少女　（アンデルセン童話集Ⅲ）,新潮文庫、新潮社,1967（昭和42）年12月10日,1981（昭和56）年5月30日21刷,1982（昭和57）年3月5日22刷,,,,,,,,,,,,チエコ,木下聡,https://www.aozora.gr.jp/cards/000019/files/59321_ruby_71247.zip,2020-06-27,ShiftJIS,JIS X 0208,0,https://www.aozora.gr.jp/cards/000019/files/59321_71296.html,2020-06-27,ShiftJIS,JIS X 0208,0
